id,libraryName,vulnType,numFindings
150,PDF Renderer,CryptoCheckAnalysis_UnInitializedKey,0
151,ApacheDS All,CryptoCheckAnalysis_StaticIV,0
152,ApacheDS All,CryptoCheckAnalysis_HardCodedKey,0
153,ApacheDS All,CryptoCheckAnalysis_UnsafeECB,4
154,ApacheDS All,CryptoCheckAnalysis_InsecureCryptoAlgorithm,14
155,ApacheDS All,CryptoCheckAnalysis_UnInitializedKey,0
156,dexmaker,CryptoCheckAnalysis_StaticIV,0
157,dexmaker,CryptoCheckAnalysis_HardCodedKey,0
158,dexmaker,CryptoCheckAnalysis_UnsafeECB,0
159,dexmaker,CryptoCheckAnalysis_InsecureCryptoAlgorithm,1
160,dexmaker,CryptoCheckAnalysis_UnInitializedKey,0
161,net.lingala.zip4j:zip4j,CryptoCheckAnalysis_StaticIV,0
162,net.lingala.zip4j:zip4j,CryptoCheckAnalysis_HardCodedKey,6
163,net.lingala.zip4j:zip4j,CryptoCheckAnalysis_UnsafeECB,0
164,net.lingala.zip4j:zip4j,CryptoCheckAnalysis_InsecureCryptoAlgorithm,17
165,net.lingala.zip4j:zip4j,CryptoCheckAnalysis_UnInitializedKey,0
166,stripe-java,CryptoCheckAnalysis_StaticIV,0
167,stripe-java,CryptoCheckAnalysis_HardCodedKey,0
168,stripe-java,CryptoCheckAnalysis_UnsafeECB,0
169,stripe-java,CryptoCheckAnalysis_InsecureCryptoAlgorithm,13
170,stripe-java,CryptoCheckAnalysis_UnInitializedKey,0
171,Apache FreeMarker,CryptoCheckAnalysis_StaticIV,0
172,Apache FreeMarker,CryptoCheckAnalysis_HardCodedKey,0
173,Apache FreeMarker,CryptoCheckAnalysis_UnsafeECB,0
174,Apache FreeMarker,CryptoCheckAnalysis_InsecureCryptoAlgorithm,4
175,Apache FreeMarker,CryptoCheckAnalysis_UnInitializedKey,0
176,Apache FtpServer Core,CryptoCheckAnalysis_StaticIV,0
177,Apache FtpServer Core,CryptoCheckAnalysis_HardCodedKey,0
178,Apache FtpServer Core,CryptoCheckAnalysis_UnsafeECB,0
179,Apache FtpServer Core,CryptoCheckAnalysis_InsecureCryptoAlgorithm,3
180,Apache FtpServer Core,CryptoCheckAnalysis_UnInitializedKey,0
181,com.google.android.libraries.places:places-compat,CryptoCheckAnalysis_StaticIV,0
182,com.google.android.libraries.places:places-compat,CryptoCheckAnalysis_HardCodedKey,0
183,com.google.android.libraries.places:places-compat,CryptoCheckAnalysis_UnsafeECB,0
184,com.google.android.libraries.places:places-compat,CryptoCheckAnalysis_InsecureCryptoAlgorithm,9
185,com.google.android.libraries.places:places-compat,CryptoCheckAnalysis_UnInitializedKey,0
186,AWS SDK for Android - Core Runtime,CryptoCheckAnalysis_StaticIV,0
187,AWS SDK for Android - Core Runtime,CryptoCheckAnalysis_HardCodedKey,0
188,AWS SDK for Android - Core Runtime,CryptoCheckAnalysis_UnsafeECB,16
189,AWS SDK for Android - Core Runtime,CryptoCheckAnalysis_InsecureCryptoAlgorithm,72
190,AWS SDK for Android - Core Runtime,CryptoCheckAnalysis_UnInitializedKey,0
191,com.google.android.gms:play-services-tagmanager-api,CryptoCheckAnalysis_StaticIV,0
192,com.google.android.gms:play-services-tagmanager-api,CryptoCheckAnalysis_HardCodedKey,0
193,com.google.android.gms:play-services-tagmanager-api,CryptoCheckAnalysis_UnsafeECB,0
194,com.google.android.gms:play-services-tagmanager-api,CryptoCheckAnalysis_InsecureCryptoAlgorithm,2036
195,com.google.android.gms:play-services-tagmanager-api,CryptoCheckAnalysis_UnInitializedKey,0
196,Reflection Utilities,CryptoCheckAnalysis_StaticIV,0
197,Reflection Utilities,CryptoCheckAnalysis_HardCodedKey,0
198,Reflection Utilities,CryptoCheckAnalysis_UnsafeECB,0
199,Reflection Utilities,CryptoCheckAnalysis_InsecureCryptoAlgorithm,1
200,Reflection Utilities,CryptoCheckAnalysis_UnInitializedKey,0
201,scrypt,CryptoCheckAnalysis_StaticIV,0
202,scrypt,CryptoCheckAnalysis_HardCodedKey,0
203,scrypt,CryptoCheckAnalysis_UnsafeECB,0
204,scrypt,CryptoCheckAnalysis_InsecureCryptoAlgorithm,2
205,scrypt,CryptoCheckAnalysis_UnInitializedKey,0
206,iText Core,CryptoCheckAnalysis_StaticIV,2
207,iText Core,CryptoCheckAnalysis_HardCodedKey,0
208,iText Core,CryptoCheckAnalysis_UnsafeECB,8
209,iText Core,CryptoCheckAnalysis_InsecureCryptoAlgorithm,133
210,iText Core,CryptoCheckAnalysis_UnInitializedKey,0
211,JavaMail API (compat),CryptoCheckAnalysis_StaticIV,0
212,JavaMail API (compat),CryptoCheckAnalysis_HardCodedKey,0
