id,jobId,algorithm,count,libraryPercentage
143,3771,AES/CBC/PKCS7Padding,2,0
144,3771,MD5,12,0
145,3771,AES,3,0
146,1957,RSA,2,0
147,1957,RC4,2,0
148,1957,{},1,1
149,1957,SHA-1,1,1
150,1957,SHA,2,0
151,1957,AES,2,0
152,1957,DES,1,0
153,1957,HmacSHA256,2,1
154,1957,PBKDF2WithHmacSHA1,1,0
155,1957,DES/ECB/NoPadding,4,0
156,1957,SHA-256,3,1
157,1957,AES/CBC/PKCS5Padding,2,0
158,1957,MD5,13,0
159,3627,SHA1,1,1
160,3627,SHA-1,3,0
161,3627,SHA-256,4,0
162,3627,MD5,2,0
163,2801,{},2,0
164,2801,[],1,1
165,2801,SHA-384,1,0
166,2801,HmacSHA1,2,0
167,2801,SHA-256,1,0
168,2801,SHA,1,0
169,2801,SHA-512,1,0
170,2801,AES/CBC/PKCS5Padding,1,1
171,2801,MD5,6,0
172,2801,AES,1,1
173,2113,0,1,1
174,2113,RSA,2,0
175,2113,[],1,1
176,2113,{},1,1
177,2113,false,1,1
178,2113,PBEWITHSHAAND256BITAES-CBC-BC,1,0
179,2113,AES/CBC/PKCS5Padding,3,0
180,2113,MD5,5,0
181,2113,AES,2,0
182,2023,AES/CBC/PKCS5Padding,1,0
183,2023,AES,1,0
184,2023,MD5,2,0
185,1558,RSA/ECB/PKCS1Padding,1,0
186,1558,HmacSHA1,3,1
187,1558,AES/CBC/PKCS5Padding,1,1
188,1558,AES,1,1
189,1558,MD5,7,0
190,3530,ECDH,8,1
191,3530,SHA1,3,0
192,3530,SHA-1,11,0
193,3530,SHA-384,1,0
194,3530,AES/CTR/NoPadding,9,0
195,3530,HMAC,1,1
196,3530,RAW,2,0
197,3530,DESede,2,0
198,3530,HMACSHA256,8,1
199,3530,AES/CTR/NOPADDING,1,1
200,3530,HMACSHA512,8,1
201,3530,AES/ECB/NoPadding,8,1
202,3530,PBKDF2WithHmacSHA1,3,0
203,3530,HmacSHA1,2,0
204,3530,SHA-224,1,0
205,3530,HMACSHA1,8,1
206,3530,EC,9,1
207,3530,AES/CBC/PKCS5Padding,3,0
208,3530,AES/CBC/PKCS7Padding,1,0
209,3530,HmacSha256,11,1
210,3530,RSA,2,0
211,3530,AES/ECB/NOPADDING,2,1
212,3530,AES,14,0
213,3530,DESede/ECB/PKCS5Padding,2,0
214,3530,SHA-256,13,0
215,3530,SHA-512,9,0
