id,jobId,category,numVulnerabilities,numLibVulns,libraryPercentage
1315,3986,Cryptography,29,23,44.2307662963867
1316,729,Cryptography,1,0,0
1317,940,Cryptography,1,0,0
1318,2292,Cryptography,6,1,14.2857151031494
1319,1556,Cryptography,2,0,0
1320,3136,Cryptography,5,5,50
1321,2117,Cryptography,5,3,37.5
1322,2177,Cryptography,32,18,36
1323,2449,Cryptography,18,0,0
1324,3788,Cryptography,106,43,28.8590602874756
1325,3373,Cryptography,37,32,46.3768119812012
1326,2387,Cryptography,11,7,38.8888893127441
1327,3438,Cryptography,38,16,29.6296291351318
1328,3686,Cryptography,7,3,30.0000019073486
1329,1629,Cryptography,9,8,47.0588226318359
1330,2487,Cryptography,39,0,0
1331,3969,Cryptography,12,0,0
1332,2370,Cryptography,10,0,0
1333,2122,Cryptography,12,7,36.8421058654785
1334,3328,Cryptography,105,92,46.7005081176758
1335,3215,Cryptography,74,56,43.0769233703613
1336,1119,Cryptography,2,2,50
1337,1139,Cryptography,8,1,11.1111116409302
1338,2068,Cryptography,8,6,42.8571434020996
1339,3600,Cryptography,18,4,18.1818180084229
1340,3338,Cryptography,44,37,45.679012298584
1341,3017,Cryptography,21,21,50
1342,1974,Cryptography,7,0,0
1343,3757,Cryptography,131,80,37.9146919250488
1344,3133,Cryptography,11,0,0
1345,2995,Cryptography,8,0,0
1346,3711,Cryptography,1,0,0
1347,2685,Cryptography,24,15,38.461540222168
1348,3110,Cryptography,191,184,49.0666656494141
1349,3528,Cryptography,102,94,47.9591827392578
1350,4035,Cryptography,113,53,31.9277114868164
1351,1354,Cryptography,1,0,0
1352,3169,Cryptography,19,0,0
1353,1552,Cryptography,3,0,0
1354,2427,Cryptography,7,1,12.5
1355,2931,Cryptography,17,14,45.1612892150879
1356,2420,Cryptography,19,16,45.7142868041992
1357,2525,Cryptography,25,14,35.8974380493164
1358,2208,Cryptography,13,13,50
1359,3964,Cryptography,95,28,22.7642288208008
1360,1910,Cryptography,14,13,48.1481475830078
1361,2552,Cryptography,28,13,31.7073173522949
1362,2619,Cryptography,19,11,36.6666679382324
1363,3701,Cryptography,121,104,46.2222213745117
1364,3645,Cryptography,83,74,47.1337585449219
1365,2056,Cryptography,8,8,50
1366,2178,Cryptography,14,11,44
1367,3345,Cryptography,13,13,50
1368,3850,Cryptography,246,216,46.753246307373
1369,1836,Cryptography,17,0,0
1370,1822,Cryptography,6,1,14.2857151031494
1371,3082,Cryptography,5,3,37.5
1372,3739,Cryptography,218,214,49.537036895752
1373,4119,Cryptography,31,10,24.3902435302734
1374,3881,Cryptography,84,34,28.8135585784912
1375,1541,Cryptography,1,1,50
1376,3520,Cryptography,98,89,47.5935821533203
1377,4072,Cryptography,57,43,43
1378,4076,Cryptography,146,74,33.6363639831543
1379,1450,Cryptography,18,2,10
1380,3248,Cryptography,11,9,45
1381,1620,Cryptography,2,0,0
1382,1156,Cryptography,26,4,13.3333339691162
1383,4069,Cryptography,62,52,45.6140327453613
1384,1913,Cryptography,4,0,0
1385,2608,Cryptography,27,11,28.9473686218262
1386,819,Cryptography,1,0,0
1387,1535,Cryptography,7,6,46.1538467407227
1388,783,Cryptography,3,0,0
1389,3912,Cryptography,67,44,39.6396408081055
1390,2457,Cryptography,22,16,42.1052627563477
1391,4107,Cryptography,33,32,49.230770111084
1392,2558,Cryptography,18,12,40
1393,2901,Cryptography,13,10,43.4782600402832
1394,2669,Cryptography,9,4,30.7692317962646
1395,3652,Cryptography,42,26,38.235294342041
1396,2758,Cryptography,20,15,42.8571434020996
1397,2596,Cryptography,46,39,45.8823547363281
1398,2761,Cryptography,10,10,50
1399,2480,Cryptography,12,0,0
1400,2366,Cryptography,38,18,32.1428565979004
1401,1184,Cryptography,14,0,0
1402,4018,Cryptography,56,46,45.0980377197266
1403,1098,Cryptography,6,0,0
1404,3954,Cryptography,102,67,39.6449699401855
1405,2038,Cryptography,3,2,40
1406,3382,Cryptography,61,53,46.4912300109863
1407,3854,Cryptography,182,88,32.5925903320312
1408,2242,Cryptography,10,10,50
1409,3311,Cryptography,22,14,38.8888893127441
1410,2537,Cryptography,17,13,43.3333320617676
1411,3217,Cryptography,105,10,8.69565200805664
1412,1883,Cryptography,9,3,25
1413,3521,Cryptography,44,37,45.679012298584
1414,2699,Cryptography,12,0,0
1415,2680,Cryptography,23,18,43.9024391174316
1416,3186,Cryptography,35,1,2.77777791023254
1417,2304,Cryptography,14,14,50
1418,1159,Cryptography,1,0,0
1419,1148,Cryptography,5,0,0
1420,3751,Cryptography,47,7,12.962963104248
1421,3620,Cryptography,34,21,38.1818161010742
1422,3981,Cryptography,37,13,26
1423,2605,Cryptography,16,8,33.3333358764648
1424,2000,Cryptography,11,1,8.33333396911621
1425,2517,Cryptography,32,28,46.6666679382324
1426,1791,Cryptography,10,0,0
1427,2906,Cryptography,11,11,50
1428,3943,Cryptography,40,14,25.9259262084961
1429,3180,Cryptography,118,113,48.9177513122559
1430,3567,Cryptography,35,28,44.4444465637207
1431,1484,Cryptography,4,0,0
1432,3087,Cryptography,12,10,45.4545478820801
1433,680,Cryptography,1,0,0
1434,3869,Cryptography,121,33,21.4285717010498
1435,2518,Cryptography,18,14,43.75
1436,3427,Cryptography,245,203,45.3125
