id,libraryName,algorithm,numFindings
408,Facebook Core,HmacSha256,0
409,Facebook Core,hmac-sha1,0
410,Facebook Core,McEliece-CCA2,0
411,Facebook Core,UNKNOWN/UNKNOWN/NoPadding,0
412,Facebook Core,XTEA/CBC/PKCS5Padding,0
413,Facebook Core,RSA/ECB/OAEPWithSHA-256AndMGF1Padding,0
414,Facebook Core,HMAC_SHA_512,0
415,Facebook Core,1.2.840.113549.3.2,0
416,Facebook Core,RSA/ECB/OAEPWithSHA-1AndMGF1Padding,0
417,Facebook Core,SHA256withDSA,0
418,Facebook Core,AES,0
419,Facebook Core,XTEA,0
420,Facebook Core,SHA-16,0
421,Facebook Core,1.2.840.10040.4.3,0
422,Facebook Core,CAMELLIA,0
423,Facebook Core,IES,0
424,Facebook Core,[null],0
425,Facebook Core,true,0
426,Facebook Core,SHA-256,34
427,Facebook Core,NH,0
428,Facebook Core,ofb(ofb),0
429,Facebook Core,SHA512withRSA,0
430,Facebook Core,N/A,0
431,Facebook Core,HMAC_SHA_384,0
432,Facebook Core,dss,0
433,Facebook Core,HMAC,0
434,Facebook Core,ECGOST3410-2012,0
435,Facebook Core,PKCS12,0
436,Facebook Core,SPHINCS-256,0
437,Facebook Core,GOST3410,0
438,Facebook Core,HmacSha1,0
439,Facebook Core,GOST3411,0
440,Facebook Core,HmacSHA256,0
441,Facebook Core,HMACSHA512,0
442,Facebook Core,Blowfish/CBC/PKCS5Padding,0
443,Facebook Core,IDEA,0
444,Facebook Core,sha-1,0
445,Facebook Core,Rainbow,0
446,Facebook Core,HmacSHA1,0
447,Facebook Core,ElGamal,0
448,Facebook Core,SHA1withRSA,0
449,Facebook Core,SHA1withECDSA,0
450,Facebook Core,SHA512withRSAandMGF1,0
451,Facebook Core,HMACSHA1,0
452,Facebook Core,HMACSHA0,0
453,Facebook Core,SHA3-224,0
454,Facebook Core,cast5-0,0
455,Facebook Core,SHA3-512,0
456,Facebook Core,sha-256,0
457,Facebook Core,Blowfish/CBC/NoPadding,0
458,Facebook Core,GMSS,0
459,Facebook Core,HMAC_SHA_256,0
460,Facebook Core,false,0
461,Facebook Core,1.2.840.113549.2.5,0
462,Facebook Core,[object Object],0
463,Facebook Core,srp,0
464,Facebook Core,SHA256,0
465,Facebook Core,XMSSMT,0
466,Facebook Core,DES,0
467,Facebook Core,SHA512withECDSA,0
468,Facebook Core,SHA256withECDSA,0
469,Facebook Core,HmacSHA384,0
470,Facebook Core,UNKNOWN,0
471,Facebook Core,AES/GCM-SIV/NoPadding,0
472,Facebook Core,PBKDF1,0
473,Facebook Core,PBKDF2,0
474,Facebook Core,AES/GCM/NoPadding,0
475,AppNexus Android SDK,n/a,0
476,AppNexus Android SDK,sha-224,0
477,AppNexus Android SDK,SHA1,0
478,AppNexus Android SDK,HmacSHA512,0
479,AppNexus Android SDK,HMACT64,0
480,AppNexus Android SDK,SHA384withRSAandMGF1,0
481,AppNexus Android SDK,CAST5,0
482,AppNexus Android SDK,CAST6,0
483,AppNexus Android SDK,NONE,0
484,AppNexus Android SDK,cast5-64,0
485,AppNexus Android SDK,rc2,0
486,AppNexus Android SDK,RC2,0
487,AppNexus Android SDK,RSA,0
488,AppNexus Android SDK,RC4,0
489,AppNexus Android SDK,sha-512,0
490,AppNexus Android SDK,UNKNOWNwithPKCS5S2,0
491,AppNexus Android SDK,ECGOST3410,0
492,AppNexus Android SDK,PBEWITHSHAAND256BITAES-CBC-BC,0
493,AppNexus Android SDK,SHA384withECDSA,0
494,AppNexus Android SDK,MAC,0
495,AppNexus Android SDK,HMAC-SHA1,0
496,AppNexus Android SDK,sha1,0
497,AppNexus Android SDK,0,0
498,AppNexus Android SDK,SHA256withRSA,0
499,AppNexus Android SDK,XMSS,0
500,AppNexus Android SDK,2.,0
501,AppNexus Android SDK,SHA3-256,0
502,AppNexus Android SDK,ECMQV,0
503,AppNexus Android SDK,rsa,0
504,AppNexus Android SDK,AES/CTR/NoPadding,0
505,AppNexus Android SDK,SHA384withRSA,0
506,AppNexus Android SDK,SHA1withDSA,0
507,AppNexus Android SDK,undefined,0
508,AppNexus Android SDK,HmacMD5,0
509,AppNexus Android SDK,RSA/ECB/PKCS1Padding,0
510,AppNexus Android SDK,SHA3-384,0
511,AppNexus Android SDK,RSA/ECB/OAEPWithSHA1AndMGF1Padding,0
512,AppNexus Android SDK,HMACSHA16,0
513,AppNexus Android SDK,DES/CBC/PKCS5Padding,0
514,AppNexus Android SDK,McEliece,0
515,AppNexus Android SDK,AES/ECB/PKCS7Padding,0
516,AppNexus Android SDK,a,0
517,AppNexus Android SDK,b,0
518,AppNexus Android SDK,[],0
519,AppNexus Android SDK,{},0
520,AppNexus Android SDK,AES/CBC/NoPadding,0
521,AppNexus Android SDK,AES/ECB/NOPADDING,0
522,AppNexus Android SDK,HMACSHA384,0
523,AppNexus Android SDK,Twofish,0
524,AppNexus Android SDK,HMACSHA544,0
525,AppNexus Android SDK,HmacSHA224,0
526,AppNexus Android SDK,DESede/CTR/NoPadding,0
527,AppNexus Android SDK,Null cipher,0
528,AppNexus Android SDK,AESWrap,0
529,AppNexus Android SDK,MD2,0
530,AppNexus Android SDK,MD4,0
531,AppNexus Android SDK,SHA-UNKNOWN,0
532,AppNexus Android SDK,HMAC_MD5,0
533,AppNexus Android SDK,SHA-512,0
534,AppNexus Android SDK,Blowfish,0
535,AppNexus Android SDK,md5,0
536,AppNexus Android SDK,MD5,3
537,AppNexus Android SDK,HmacSha512,0
538,AppNexus Android SDK,ECDH,0
539,AppNexus Android SDK,SHA-1,3
540,AppNexus Android SDK,dh,0
541,AppNexus Android SDK,DH,0
542,AppNexus Android SDK,SHA-384,0
543,AppNexus Android SDK,SHA256withRSAandMGF1,0
544,AppNexus Android SDK,EdDSA,0
545,AppNexus Android SDK,DESede,0
546,AppNexus Android SDK,HMACSHA256,0
547,AppNexus Android SDK,SHA,0
548,AppNexus Android SDK,HMACSHAUNKNOWN,0
549,AppNexus Android SDK,AES/CTR/NOPADDING,0
550,AppNexus Android SDK,DSA,0
551,AppNexus Android SDK,Twofish/CBC/NoPadding,0
552,AppNexus Android SDK,PBKDF2WithHmacSHA1,0
553,AppNexus Android SDK,AES/ECB/NoPadding,0
554,AppNexus Android SDK,DES/ECB/NoPadding,0
555,AppNexus Android SDK,XTEA/CBC/NoPadding,0
556,AppNexus Android SDK,DESede/CBC/NoPadding,0
557,AppNexus Android SDK,SHA-0,0
558,AppNexus Android SDK,DSTU4145,0
559,AppNexus Android SDK,HMAC_SHA_1,0
560,AppNexus Android SDK,AES/CBC/PKCS7Padding,0
561,AppNexus Android SDK,sha-384,0
562,AppNexus Android SDK,EC,0
563,AppNexus Android SDK,AES/CBC/PKCS5Padding,0
564,AppNexus Android SDK,SHA-544,0
565,AppNexus Android SDK,SHA224withDSA,0
566,AppNexus Android SDK,HmacSha256,0
567,AppNexus Android SDK,hmac-sha1,0
568,AppNexus Android SDK,McEliece-CCA2,0
569,AppNexus Android SDK,UNKNOWN/UNKNOWN/NoPadding,0
570,AppNexus Android SDK,XTEA/CBC/PKCS5Padding,0
571,AppNexus Android SDK,RSA/ECB/OAEPWithSHA-256AndMGF1Padding,0
572,AppNexus Android SDK,HMAC_SHA_512,0
573,AppNexus Android SDK,1.2.840.113549.3.2,0
574,AppNexus Android SDK,RSA/ECB/OAEPWithSHA-1AndMGF1Padding,0
575,AppNexus Android SDK,SHA256withDSA,0
576,AppNexus Android SDK,AES,0
577,AppNexus Android SDK,XTEA,0
578,AppNexus Android SDK,SHA-16,0
579,AppNexus Android SDK,1.2.840.10040.4.3,0
580,AppNexus Android SDK,CAMELLIA,0
581,AppNexus Android SDK,IES,0
582,AppNexus Android SDK,[null],0
583,AppNexus Android SDK,true,0
584,AppNexus Android SDK,SHA-256,0
585,AppNexus Android SDK,NH,0
586,AppNexus Android SDK,ofb(ofb),0
587,AppNexus Android SDK,SHA512withRSA,0
588,AppNexus Android SDK,N/A,0
589,AppNexus Android SDK,HMAC_SHA_384,0
590,AppNexus Android SDK,dss,0
591,AppNexus Android SDK,HMAC,0
592,AppNexus Android SDK,ECGOST3410-2012,0
593,AppNexus Android SDK,PKCS12,0
594,AppNexus Android SDK,SPHINCS-256,0
595,AppNexus Android SDK,GOST3410,0
596,AppNexus Android SDK,HmacSha1,0
597,AppNexus Android SDK,GOST3411,0
598,AppNexus Android SDK,HmacSHA256,0
599,AppNexus Android SDK,HMACSHA512,0
600,AppNexus Android SDK,Blowfish/CBC/PKCS5Padding,0
601,AppNexus Android SDK,IDEA,0
602,AppNexus Android SDK,sha-1,0
603,AppNexus Android SDK,Rainbow,0
604,AppNexus Android SDK,HmacSHA1,0
605,AppNexus Android SDK,ElGamal,0
606,AppNexus Android SDK,SHA1withRSA,0
607,AppNexus Android SDK,SHA1withECDSA,0
608,AppNexus Android SDK,SHA512withRSAandMGF1,0
609,AppNexus Android SDK,HMACSHA1,0
